group,epop,t,meanoutcome
Average of 7 business cycles,,0,0.114
Average of 7 business cycles,,0.083333336,0.057
Average of 7 business cycles,,0.166666672,-0.057
Average of 7 business cycles,,0.25,-0.157
Average of 7 business cycles,,0.333333343,-0.2
Average of 7 business cycles,,0.416666657,-0.514
Average of 7 business cycles,,0.5,-0.714
Average of 7 business cycles,,0.583333313,-0.643
Average of 7 business cycles,,0.666666687,-0.814
Average of 7 business cycles,,0.75,-0.886
Average of 7 business cycles,,0.833333313,-0.957
Average of 7 business cycles,,0.916666687,-0.929
Average of 7 business cycles,,1,-0.971
Average of 7 business cycles,,1.083333373,-1
Average of 7 business cycles,,1.166666627,-0.971
Average of 7 business cycles,,1.25,-1.114
Average of 7 business cycles,,1.333333373,-1.071
Average of 7 business cycles,,1.416666627,-1.071
Average of 7 business cycles,,1.5,-1.1
Average of 7 business cycles,,1.583333373,-1.083
Average of 7 business cycles,,1.666666627,-0.983
Average of 7 business cycles,,1.75,-0.75
Average of 7 business cycles,,1.833333373,-0.667
Average of 7 business cycles,,1.916666627,-0.5
Average of 7 business cycles,,2,-0.483
Average of 7 business cycles,,2.083333254,-0.367
Average of 7 business cycles,,2.166666746,-0.25
Average of 7 business cycles,,2.25,-0.283
Average of 7 business cycles,,2.333333254,-0.033
Average of 7 business cycles,,2.416666746,0.05
Average of 7 business cycles,,2.5,0.1
Average of 7 business cycles,,2.583333254,0
Average of 7 business cycles,,2.666666746,0.2
Average of 7 business cycles,,2.75,0.3
Average of 7 business cycles,,2.833333254,0.36
Average of 7 business cycles,,2.916666746,0.46
Average of 7 business cycles,,3,0.54
Average of 7 business cycles,,3.083333254,0.6
Average of 7 business cycles,,3.166666746,0.66
Average of 7 business cycles,,3.25,0.72
Average of 7 business cycles,,3.333333254,0.76
Average of 7 business cycles,,3.416666746,0.86
Average of 7 business cycles,,3.5,0.94
Average of 7 business cycles,,3.583333254,1.14
Average of 7 business cycles,,3.666666746,1.16
Average of 7 business cycles,,3.75,1.14
Average of 7 business cycles,,3.833333254,1.24
Average of 7 business cycles,,3.916666746,1.275
Average of 7 business cycles,,4,1.55
Average of 7 business cycles,,4.083333492,1.967
Average of 7 business cycles,,4.166666508,2.033
Average of 7 business cycles,,4.25,2.067
Average of 7 business cycles,,4.333333492,2.167
Average of 7 business cycles,,4.416666508,2.167
Average of 7 business cycles,,4.5,2.167
Average of 7 business cycles,,4.583333492,2.1
Average of 7 business cycles,,4.666666508,2.233
Average of 7 business cycles,,4.75,2.233
Average of 7 business cycles,,4.833333492,2.333
Average of 7 business cycles,,4.916666508,2.533
Average of 7 business cycles,,5,2.633
Average of 7 business cycles,,5.083333492,2.767
Average of 7 business cycles,,5.166666508,2.9
Average of 7 business cycles,,5.25,2.967
Average of 7 business cycles,,5.333333492,2.967
Average of 7 business cycles,,5.416666508,2.9
Average of 7 business cycles,,5.5,2.967
Average of 7 business cycles,,5.583333492,3.067
Average of 7 business cycles,,5.666666508,3.267
Average of 7 business cycles,,5.75,3.333
Average of 7 business cycles,,5.833333492,3.467
Average of 7 business cycles,,5.916666508,3.467
Average of 7 business cycles,,6,3.467
Average of 7 business cycles,,6.083333492,3.667
Average of 7 business cycles,,6.166666508,3.4
Average of 7 business cycles,,6.25,3.4
Average of 7 business cycles,,6.333333492,3.55
Average of 7 business cycles,,6.416666508,3.75
Average of 7 business cycles,,6.5,3.75
Average of 7 business cycles,,6.583333492,3.9
Average of 7 business cycles,,6.666666508,3.95
Average of 7 business cycles,,6.75,3.95
Average of 7 business cycles,,6.833333492,3.75
Average of 7 business cycles,,6.916666508,3.75
Average of 7 business cycles,,7,3.95
Average of 7 business cycles,,7.083333492,3.95
Average of 7 business cycles,,7.166666508,3.95
Average of 7 business cycles,,7.25,4.2
Average of 7 business cycles,,7.333333492,4.35
Average of 7 business cycles,,7.416666508,4.35
Average of 7 business cycles,,7.5,4.6
Average of 7 business cycles,,7.583333492,4.5
Average of 7 business cycles,,7.666666508,4.6
Average of 7 business cycles,,7.75,4.3
Average of 7 business cycles,,7.833333492,4.45
Average of 7 business cycles,,7.916666508,4.55
Average of 7 business cycles,,8,4.55
Average of 7 business cycles,,8.083333015,4.75
Average of 7 business cycles,,8.166666985,4.85
Average of 7 business cycles,,8.25,4.65
Average of 7 business cycles,,8.333333015,4.75
Average of 7 business cycles,,8.416666985,4.75
Average of 7 business cycles,,8.5,4.75
Average of 7 business cycles,,8.583333015,4.85
Average of 7 business cycles,,8.666666985,4.85
Average of 7 business cycles,,8.75,4.75
Average of 7 business cycles,,8.833333015,4.9
Average of 7 business cycles,,8.916666985,4.75
Average of 7 business cycles,,9,4.4
Average of 7 business cycles,,9.083333015,4.5
Average of 7 business cycles,,9.166666985,4.6
Average of 7 business cycles,,9.25,4.6
Average of 7 business cycles,,9.333333015,4.8
Average of 7 business cycles,,9.416666985,4.8
Average of 7 business cycles,,9.5,4.9
Average of 7 business cycles,,9.583333015,4.7
July 1990-February 2001,,0,-0.2
July 1990-February 2001,,0.083333336,-0.3
July 1990-February 2001,,0.166666672,-0.4
July 1990-February 2001,,0.25,-0.4
July 1990-February 2001,,0.333333343,-0.6
July 1990-February 2001,,0.416666657,-0.8
July 1990-February 2001,,0.5,-0.9
July 1990-February 2001,,0.583333313,-0.9
July 1990-February 2001,,0.666666687,-1.1
July 1990-February 2001,,0.75,-0.8
July 1990-February 2001,,0.833333313,-1.2
July 1990-February 2001,,0.916666687,-1.1
July 1990-February 2001,,1,-1.2
July 1990-February 2001,,1.083333373,-1.3
July 1990-February 2001,,1.166666627,-1.2
July 1990-February 2001,,1.25,-1.3
July 1990-February 2001,,1.333333373,-1.4
July 1990-February 2001,,1.416666627,-1.5
July 1990-February 2001,,1.5,-1.4
July 1990-February 2001,,1.583333373,-1.6
July 1990-February 2001,,1.666666627,-1.6
July 1990-February 2001,,1.75,-1.4
July 1990-February 2001,,1.833333373,-1.4
July 1990-February 2001,,1.916666627,-1.3
July 1990-February 2001,,2,-1.4
July 1990-February 2001,,2.083333254,-1.4
July 1990-February 2001,,2.166666746,-1.5
July 1990-February 2001,,2.25,-1.6
July 1990-February 2001,,2.333333254,-1.6
July 1990-February 2001,,2.416666746,-1.6
July 1990-February 2001,,2.5,-1.6
July 1990-February 2001,,2.583333254,-1.7
July 1990-February 2001,,2.666666746,-1.6
July 1990-February 2001,,2.75,-1.6
July 1990-February 2001,,2.833333254,-1.3
July 1990-February 2001,,2.916666746,-1.2
July 1990-February 2001,,3,-1.2
July 1990-February 2001,,3.083333254,-1
July 1990-February 2001,,3.166666746,-1.2
July 1990-February 2001,,3.25,-1.1
July 1990-February 2001,,3.333333254,-0.8
July 1990-February 2001,,3.416666746,-0.8
July 1990-February 2001,,3.5,-0.9
July 1990-February 2001,,3.583333254,-0.9
July 1990-February 2001,,3.666666746,-0.9
July 1990-February 2001,,3.75,-0.8
July 1990-February 2001,,3.833333254,-0.6
July 1990-February 2001,,3.916666746,-1
July 1990-February 2001,,4,-0.7
July 1990-February 2001,,4.083333492,-0.6
July 1990-February 2001,,4.166666508,-0.2
July 1990-February 2001,,4.25,-0.2
July 1990-February 2001,,4.333333492,0
July 1990-February 2001,,4.416666508,0
July 1990-February 2001,,4.5,-0.1
July 1990-February 2001,,4.583333492,0.2
July 1990-February 2001,,4.666666508,0.1
July 1990-February 2001,,4.75,0
July 1990-February 2001,,4.833333492,-0.1
July 1990-February 2001,,4.916666508,-0.3
July 1990-February 2001,,5,-0.1
July 1990-February 2001,,5.083333492,-0.2
July 1990-February 2001,,5.166666508,0
July 1990-February 2001,,5.25,0
July 1990-February 2001,,5.333333492,-0.1
July 1990-February 2001,,5.416666508,-0.1
July 1990-February 2001,,5.5,0
July 1990-February 2001,,5.583333492,0.1
July 1990-February 2001,,5.666666508,0.1
July 1990-February 2001,,5.75,0.1
July 1990-February 2001,,5.833333492,0.2
July 1990-February 2001,,5.916666508,0.3
July 1990-February 2001,,6,0.6
July 1990-February 2001,,6.083333492,0.7
July 1990-February 2001,,6.166666508,0.6
July 1990-February 2001,,6.25,0.8
July 1990-February 2001,,6.333333492,0.7
July 1990-February 2001,,6.416666508,0.7
July 1990-February 2001,,6.5,0.7
July 1990-February 2001,,6.583333492,0.6
July 1990-February 2001,,6.666666508,0.8
July 1990-February 2001,,6.75,0.9
July 1990-February 2001,,6.833333492,0.8
July 1990-February 2001,,6.916666508,1.1
July 1990-February 2001,,7,1.3
July 1990-February 2001,,7.083333492,1.5
July 1990-February 2001,,7.166666508,1.3
July 1990-February 2001,,7.25,1.3
July 1990-February 2001,,7.333333492,1.2
July 1990-February 2001,,7.416666508,1.2
July 1990-February 2001,,7.5,1.2
July 1990-February 2001,,7.583333492,1.2
July 1990-February 2001,,7.666666508,1.2
July 1990-February 2001,,7.75,1.3
July 1990-February 2001,,7.833333492,1.2
July 1990-February 2001,,7.916666508,1.2
July 1990-February 2001,,8,1.3
July 1990-February 2001,,8.083333015,1.4
July 1990-February 2001,,8.166666985,1.5
July 1990-February 2001,,8.25,1.3
July 1990-February 2001,,8.333333015,1.4
July 1990-February 2001,,8.416666985,1.5
July 1990-February 2001,,8.5,2
July 1990-February 2001,,8.583333015,1.7
July 1990-February 2001,,8.666666985,1.5
July 1990-February 2001,,8.75,1.5
July 1990-February 2001,,8.833333015,1.6
July 1990-February 2001,,8.916666985,1.6
July 1990-February 2001,,9,1.4
July 1990-February 2001,,9.083333015,1.5
July 1990-February 2001,,9.166666985,1.5
July 1990-February 2001,,9.25,1.7
July 1990-February 2001,,9.333333015,1.8
